"seq.number","seat","gene","allele","section","file","loaded","E.or.C","sex","group","wing.score","stock.num","temp.C","allele.num","gene.shrt","gene.allele"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",5,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",5,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",5,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",5,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",5,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",5,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",5,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",5,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",5,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",5,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",5,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",5,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",5,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",6,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",6,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",6,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",6,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",6,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","E","M","E.M",6,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","C","M","C.M",4,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","C","M","C.M",4,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","C","M","C.M",4,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","C","M","C.M",4,"8565",25,1,"abl","abl.1"
1,1,"abl","abl[2]","AM.M","wing_01.xlsm","loaded","C","M","C.M",4,"8565",25,1,"abl","abl.1"
